child,tech_kind,parent,urgency
"<STACK_LABEL> <tiers> - <group>",basic,"<tiers> - <group>",1
"<STACK_LABEL> <tiers> - <group>",type,"<tiers> - <group>",1
"<STACK_LABEL> <tiers> - <group>",site,"<tiers> - <group>",1
"<STACK_LABEL> <tiers> - <group>",type.site,"<tiers> - <group>",1
"<site> <tiers> - <group>",site,"<STACK_LABEL> <tiers> - <group>",11
"<type> <tiers> - <group>",type,"<STACK_LABEL> <tiers> - <group>",11
"<site> <tiers> - <group>","type.site","<STACK_LABEL> <tiers> - <group>",11
"<type> <site> <tiers> - <group>","type.site","<site> <tiers> - <group>",11
